"","x"
"1","122"
"2","125"
"3","164"
"4","168"
"5","177"
"6","181"
"7","183"
"8","219"
"9","242"
"10","250"
"11","310"
"12","322"
"13","346"
"14","348"
"15","354"
"16","366"
"17","368"
"18","374"
"19","385"
"20","396"
"21","405"
"22","409"
"23","413"
"24","414"
"25","420"
"26","435"
"27","441"
"28","466"
"29","470"
"30","473"
"31","485"
"32","491"
"33","496"
"34","524"
"35","532"
"36","538"
"37","541"
"38","543"
"39","552"
"40","562"
"41","565"
"42","568"
"43","570"
"44","572"
"45","589"
"46","592"
"47","598"
"48","599"
"49","600"
"50","601"
"51","602"
"52","609"
"53","620"
"54","634"
"55","638"
"56","642"
"57","650"
"58","663"
"59","668"
"60","670"
"61","678"
"62","685"
"63","693"
"64","701"
"65","708"
"66","714"
"67","717"
"68","724"
"69","727"
"70","732"
"71","744"
"72","746"
"73","761"
"74","766"
"75","770"
"76","779"
"77","782"
"78","783"
"79","785"
"80","792"
"81","808"
"82","826"
"83","838"
"84","839"
"85","840"
"86","853"
"87","862"
"88","871"
"89","872"
"90","879"
"91","883"
"92","885"
"93","886"
"94","887"
"95","911"
"96","912"
"97","932"
"98","936"
"99","951"
"100","978"
"101","983"
"102","997"
"103","1006"
"104","1073"
"105","1074"
"106","1075"
"107","1079"
"108","1087"
"109","1088"
"110","1095"
"111","1096"
"112","1098"
"113","1102"
"114","1106"
"115","1107"
"116","1114"
"117","1115"
"118","1121"
"119","1131"
"120","1136"
"121","1137"
"122","1138"
"123","1150"
"124","1153"
"125","1160"
"126","1161"
"127","1174"
"128","1179"
"129","1181"
"130","1187"
"131","1205"
"132","1209"
"133","1213"
"134","1229"
"135","1232"
"136","1234"
"137","1237"
"138","1238"
"139","1239"
"140","1251"
"141","1252"
"142","1253"
"143","1258"
"144","1282"
"145","1289"
"146","1291"
"147","1296"
"148","1299"
"149","1312"
"150","1317"
"151","1325"
"152","1331"
"153","1333"
"154","1334"
"155","1340"
"156","1341"
"157","1342"
"158","1354"
"159","1370"
"160","1377"
"161","1392"
"162","1395"
"163","1398"
"164","1402"
"165","1407"
"166","1412"
"167","1414"
"168","1416"
"169","1417"
"170","1423"
"171","1424"
"172","1438"
"173","1443"
"174","1444"
"175","1457"
"176","1458"
"177","1463"
"178","1470"
"179","1475"
"180","1477"
"181","1479"
"182","1485"
"183","1498"
"184","1499"
"185","1500"
"186","1504"
"187","1510"
"188","1513"
"189","1517"
"190","1528"
"191","1529"
"192","1535"
"193","1536"
"194","1537"
"195","1538"
"196","1541"
"197","1546"
"198","1547"
"199","1548"
"200","1553"
"201","1559"
"202","1566"
"203","1570"
"204","1571"
"205","1574"
"206","1580"
"207","1582"
"208","1586"
"209","1596"
"210","1598"
"211","1606"
"212","1614"
"213","1619"
"214","1639"
"215","1650"
"216","1656"
"217","1665"
"218","1667"
"219","1674"
"220","1685"
"221","1688"
"222","1690"
"223","1702"
"224","1707"
"225","1714"
"226","1720"
"227","1723"
"228","1727"
"229","1728"
"230","1740"
"231","1741"
"232","1769"
"233","1773"
"234","1775"
"235","1778"
"236","1786"
"237","1788"
"238","1791"
"239","1798"
"240","1800"
"241","1802"
"242","1806"
"243","1809"
"244","1816"
"245","1823"
"246","1834"
"247","1835"
"248","1847"
"249","1857"
"250","1861"
"251","1864"
"252","1866"
"253","1892"
"254","1893"
"255","1894"
"256","1899"
"257","1901"
"258","1902"
"259","1910"
"260","1920"
"261","1927"
"262","1929"
"263","1930"
"264","1932"
"265","1935"
"266","1936"
"267","1940"
"268","1941"
"269","1946"
"270","1951"
"271","1953"
"272","1960"
"273","1962"
"274","1968"
"275","1973"
"276","1974"
"277","1983"
"278","1987"
"279","1989"
"280","1990"
"281","1997"
"282","2004"
"283","2006"
"284","2016"
"285","2020"
"286","2022"
"287","2023"
"288","2030"
"289","2036"
"290","2041"
"291","2046"
"292","2048"
"293","2053"
"294","2054"
"295","2056"
"296","2060"
"297","2061"
"298","2065"
"299","2069"
"300","2070"
"301","2071"
"302","2075"
"303","2078"
"304","2080"
"305","2084"
"306","2089"
"307","2094"
"308","2095"
"309","2102"
"310","2107"
"311","2112"
"312","2113"
"313","2120"
"314","2125"
"315","2126"
"316","2127"
"317","2128"
"318","2129"
"319","2137"
"320","2142"
"321","2147"
"322","2148"
"323","2157"
"324","2165"
"325","2171"
"326","2174"
"327","2179"
"328","2182"
"329","2187"
"330","2192"
"331","2193"
"332","2198"
"333","2201"
"334","2202"
"335","2216"
"336","2217"
"337","2231"
"338","2232"
"339","2233"
"340","2234"
"341","2235"
"342","2237"
"343","2256"
"344","2257"
"345","2268"
"346","2273"
"347","2280"
"348","2290"
"349","2291"
"350","2299"
"351","2306"
"352","2307"
"353","2309"
"354","2313"
"355","2336"
"356","2337"
"357","2338"
"358","2343"
"359","2346"
"360","2357"
"361","2358"
"362","2360"
"363","2364"
"364","2367"
"365","2370"
"366","2372"
"367","2380"
"368","2382"
"369","2383"
"370","2388"
"371","2390"
"372","2395"
"373","2399"
"374","2402"
"375","2403"
"376","2417"
"377","2440"
"378","2441"
"379","2448"
"380","2451"
"381","2454"
"382","2455"
"383","2459"
"384","2461"
"385","2463"
"386","2486"
"387","2487"
"388","2490"
"389","2491"
"390","2494"
"391","2499"
"392","2503"
"393","2507"
"394","2508"
"395","2509"
"396","2510"
"397","2515"
"398","2516"
"399","2518"
"400","2520"
"401","2525"
"402","2533"
"403","2541"
"404","2547"
"405","2548"
"406","2551"
"407","2552"
"408","2557"
"409","2559"
"410","2565"
"411","2586"
"412","2587"
"413","2595"
"414","2596"
"415","2597"
"416","2607"
"417","2609"
"418","2610"
"419","2614"
"420","2616"
"421","2620"
"422","2627"
"423","2630"
"424","2633"
"425","2634"
"426","2638"
"427","2640"
"428","2641"
"429","2644"
"430","2645"
"431","2647"
"432","2649"
"433","2652"
"434","2655"
"435","2659"
"436","2661"
"437","2664"
"438","2668"
"439","2674"
"440","2676"
"441","2677"
"442","2680"
"443","2685"
"444","2689"
"445","2690"
"446","2692"
"447","2694"
"448","2699"
"449","2704"
"450","2706"
"451","2709"
"452","2711"
"453","2713"
"454","2716"
"455","2728"
"456","2730"
"457","2733"
"458","2734"
"459","2741"
"460","2742"
"461","2743"
"462","2757"
"463","2759"
"464","2804"
"465","2807"
"466","2809"
"467","2823"
"468","2832"
"469","2836"
"470","2845"
"471","2857"
"472","2859"
"473","2862"
"474","2865"
"475","2867"
"476","2880"
"477","2883"
"478","2890"
"479","2891"
"480","2894"
"481","2898"
"482","2917"
"483","2922"
"484","2924"
"485","2937"
"486","2938"
"487","2943"
"488","2944"
"489","2955"
"490","2957"
"491","2961"
"492","2963"
"493","2972"
"494","2975"
"495","2982"
"496","2983"
"497","2984"
"498","2988"
"499","2989"
"500","2991"
"501","2993"
"502","2994"
"503","2998"
"504","2999"
"505","3002"
"506","3005"
"507","3011"
"508","3013"
"509","3020"
"510","3021"
"511","3023"
"512","3024"
"513","3029"
"514","3030"
"515","3032"
"516","3033"
"517","3035"
"518","3036"
"519","3042"
"520","3043"
"521","3045"
"522","3051"
"523","3059"
"524","3061"
"525","3066"
"526","3068"
"527","3076"
"528","3079"
"529","3080"
"530","3084"
"531","3087"
"532","3093"
"533","3098"
"534","3106"
"535","3108"
"536","3112"
"537","3113"
"538","3114"
"539","3115"
"540","3118"
"541","3121"
"542","3122"
"543","3123"
"544","3126"
"545","3133"
"546","3134"
"547","3140"
"548","3142"
"549","3145"
"550","3148"
"551","3149"
"552","3150"
"553","3156"
"554","3158"
"555","3159"
"556","3162"
"557","3168"
"558","3169"
"559","3175"
"560","3177"
"561","3182"
"562","3187"
"563","3188"
"564","3191"
"565","3192"
"566","3195"
"567","3196"
"568","3199"
"569","3205"
"570","3215"
"571","3221"
"572","3223"
"573","3227"
"574","3231"
"575","3232"
"576","3239"
"577","3243"
"578","3247"
"579","3248"
"580","3249"
"581","3251"
"582","3253"
"583","3258"
"584","3261"
"585","3262"
"586","3264"
"587","3265"
"588","3267"
"589","3268"
"590","3271"
"591","3272"
"592","3275"
"593","3276"
"594","3277"
"595","3288"
"596","3290"
"597","3292"
"598","3293"
"599","3297"
"600","3303"
"601","3311"
"602","3312"
"603","3317"
"604","3319"
"605","3328"
"606","3334"
"607","3336"
"608","3343"
"609","3345"
"610","3347"
"611","3348"
"612","3351"
"613","3352"
"614","3355"
"615","3369"
"616","3374"
"617","3378"
"618","3383"
"619","3393"
"620","3395"
"621","3396"
"622","3401"
"623","3402"
"624","3403"
"625","3408"
"626","3409"
"627","3414"
"628","3420"
"629","3422"
"630","3426"
"631","3430"
"632","3447"
"633","3448"
"634","3453"
"635","3458"
"636","3459"
"637","3460"
"638","3461"
"639","3471"
"640","3481"
"641","3485"
"642","3487"
"643","3490"
"644","3509"
"645","3510"
"646","3527"
"647","3531"
"648","3532"
"649","3533"
"650","3547"
"651","3559"
"652","3561"
"653","3566"
"654","3569"
"655","3579"
"656","3581"
"657","3590"
"658","3599"
"659","3611"
"660","3613"
"661","3614"
"662","3616"
"663","3617"
